glyph-set-id,exonym,endonym,typeface,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
*Bilb-999,"Bilang-bilang , Lontara Bilang Bilang , Counting script","Bilang-bilang , Aksara Lontara Bilang-bilang",traditional-cipher,https://scriptsource.org/cms/scripts/page.php?item_id=entry_detail&uid=y3csbn8pp7,https://en.wikipedia.org/wiki/Lontara_Bilang-bilang_script,https://www.omniglot.com/writing/bilangbilang.htm,,https://www.unicode.org/notes/tn35/indonesian-philippine.pdf#page=52
*Gang-998,"Gangga Malayu , Malay Cipher Alphabet",Gangga Malayu,traditional-cipher,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa35,,,,https://unicode.org/L2/L2011/11151-gangga-malayu.pdf
*Naas-999,"Naasioi Otomaung , Ottomaung",Otomaung Naasioi,traditional-cipher,,,https://www.omniglot.com/writing/otomaung.htm,https://www.endangeredalphabets.net/alphabets/naasioi-otomaung/,
*Veso-998,"Veso Bey , Veso Bei","Gjirokastër , Gjirokastra",artificial-cipher,,https://en.wikipedia.org/wiki/Gjirokast%C3%ABr_alphabet,,,https://www.unicode.org/L2/L2009/09328-old-albanian.pdf
glyph-set-id,exonym,endonym,typeface,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
