graph-set-id,exonym,endonym,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
Tglg-370,Tagalog ∞ tagal ∞ Baybayin ∞ baybayin ∞ Sulat Tagalog,ᜐᜓᜎᜆᜄᜎᜓ ∞ ᜊᜌ᜔ᜊᜌᜒᜈ᜔ ∞ ᜀᜅᜎᜑ ∞ ᜆᜄᜎᜓᜄ᜔,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tglg,https://en.wikipedia.org/wiki/Baybayin,https://omniglot.com/writing/baybayin.htm,,https://www.unicode.org/L2/L1999/n1933.pdf
Tagb-373,Tagbanwa ∞ tagbanoua,ᝦᝪᝯ ∞ ᝰᝮᝯᝫ ∞ Apurahuano ∞ Palawan,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tagb,https://en.wikipedia.org/wiki/Tagbanwa_script,https://omniglot.com/writing/tagbanwa.htm,https://www.endangeredalphabets.net/tagbanwa/,https://www.unicode.org/L2/L1999/n1933.pdf
Tale-353,Tai Le ∞ taï-le,ᥖᥭᥰ ᥘᥫᥴ ∞ ᥖᥭᥰᥘᥫᥴ ∞ ᥓᥣᥳᥞ ∞ Dehong Dai ∞ Lik Tho Ngok,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tale,https://en.wikipedia.org/wiki/Tai_Le_script,https://www.omniglot.com/writing/dehongdai.htm,https://www.endangeredalphabets.net/alphabets/tai-le/,https://www.unicode.org/L2/L2001/01369-n2372.pdf
*Tain-998,Tai Noi ∞ Akson Tai Noy ∞ Lao Buhan ∞ Thai Noi ∞ To Lao,ตัวลาว ∞ ຕົວລາວ ∞ อักษรไทน้อย ∞ ອັກສອນໄທນ້ອຍ,,https://en.wikipedia.org/wiki/Tai_Noi_script,,,https://www.unicode.org/L2/L2018/18072-toward-thai-noi.pdf
Lana-351,Tai Tham ∞ Lanna ∞ taï tham ∞ lanna ∞ Tua Mueang,ᨲ᩠ᩅᩫᨵᩢᨾ᩠ᨾ᩼ ∞ ᨲ᩠ᩅᩫᨾᩮᩥᩬᨦ ∞ ᨾᨶᩔᨴ ∞ Dham ∞ Yuan,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Lana,https://en.wikipedia.org/wiki/Tai_Tham_script,https://www.omniglot.com/writing/lanna.htm,,https://www.unicode.org/L2/L2007/07007r-n3207r-lanna.pdf
Tavt-359,Tai Viet ∞ taï viêt ∞ Tai Dam,ꪎꪳ ꪼꪕ ∞ ꪼꪕꪒꪾ ∞ ꪹꪕꪉꪀ,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tavt,https://en.wikipedia.org/wiki/Tai_Viet_script,https://www.omniglot.com/writing/taiviet.htm,,https://www.unicode.org/wg2/docs/n1996.pdf
Takr-321,Takri ∞ Ṭākrī ∞ Ṭāṅkrī ∞ tâkrî ∞ Tankri,𑚔𑚭𑚊𑚤𑚯 ∞ 𑚄𑚫𑚛𑚲𑚝𑚮𑚏𑚭 ∞ 𑚔𑚭𑚫𑚊𑚤𑚯,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Takr,https://en.wikipedia.org/wiki/Takri_script,https://omniglot.com/writing/takri.htm,,https://www.unicode.org/L2/L2009/09424-takri.pdf
Taml-346,Tamil ∞ tamoul ∞ Tamiḻ ∞ tamiz ezuttu,தமிழ் ∞ மனதப,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Taml,https://en.wikipedia.org/wiki/Tamil_script,https://www.omniglot.com/writing/tamil.htm,,
*Tank-998,Tangsa Khimhun ∞ Tangsa Khimhu ∞ Khimhun Tangsa,Rang Frah Lipi ∞ Tangshang ∞ Hawa,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa57,https://en.wikipedia.org/wiki/Tangsa_language,,https://www.endangeredalphabets.net/alphabets/tangsa/,https://www.unicode.org/L2/L2013/13230-intro-khimhun-tangsa.pdf
Tnsa-275,Tangsa ∞ tangsa ∞ Mossang,𖪰𖩵𖪂𖪫𖩸 ∞ 𖩴𖩵𖩶𖩷 ∞ Muishvng ∞ Tangshang ∞ Hawa,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tnsa,https://en.wikipedia.org/wiki/Tangsa_language#Orthography,https://www.omniglot.com/writing/tangsa.htm,,https://www.unicode.org/L2/L2020/20259-tangsa-script.pdf
Tang-520,Tangut,𗼇𗟲 ∞ 𗀔𗼘𗁅𗔔,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tang,https://en.wikipedia.org/wiki/Tangut_script,https://www.omniglot.com/writing/tangut.htm,,https://www.unicode.org/L2/L2010/10095-n3797-tangut.pdf
*Tani-998,Tani,Tani Lipi,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa51,https://en.wikipedia.org/wiki/Tani_languages#Unified_writing_script,https://omniglot.com/writing/tani.htm,,https://www.unicode.org/L2/L2010/10146-tani-lipi.pdf
Telu-340,Telugu ∞ télougou ∞ Aazhvaar,తెలుగు ∞ తెలుగు లిపి ∞ పరతస ∞ ఆఴ్వార్ తెలుగు,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Telu,https://en.wikipedia.org/wiki/Telugu_script,https://omniglot.com/writing/telugu.htm,,https://www.unicode.org/L2/L2020/20085-telugu-nukta.pdf
Thaa-170,Thaana ∞ thâna ∞ Tãnaa ∞ Taana ∞ Tāna,ތާނަ ∞ ހރއނ ∞ ދިވެހި,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Thaa,https://en.wikipedia.org/wiki/Thaana,https://www.omniglot.com/writing/thaana.htm,,https://www.evertype.com/standards/dv/thaana.html
Tayo-380,Thai Yo ∞ Tai Yo ∞ Thai Yor ∞ Tai Do,Lai Tay ∞ Yo Lay Tai ∞ Yo Lai Tay ∞ taï yo ∞ Quy Chau,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tayo,https://en.wikipedia.org/wiki/Lai_Tay_script,,,https://www.unicode.org/L2/L2022/22289r-tai-yo-script.pdf
Thai-352,Thai ∞ thaï,ภาษาไทย ∞ มนุษย์ ∞ Narai,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Thai,https://en.wikipedia.org/wiki/Thai_script,https://www.omniglot.com/writing/thai.htm,,
Tibt-330,Tibetan ∞ tibétain,བོད་སྐད་ ∞ འགབམ ∞ Bodhi,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tibt,https://en.wikipedia.org/wiki/Tibetan_script,https://www.omniglot.com/writing/tibetan.htm,https://www.endangeredalphabets.net/tibetan/,https://www.unicode.org/L2/L1998/98218.pdf
*Tika-998,Tikamuli ∞ Sunuwar ∞ Sunwar,Tikamuli ∞ Jenticha,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa19,https://en.wikipedia.org/wiki/Sunwar_language,https://www.omniglot.com/writing/tikamuli.htm,,https://www.unicode.org/L2/L2010/10465r-tikamuli.pdf
Tirh-326,Tirhuta ∞ tirhouta,মৈথিনী ∞ 𑒮𑒩𑒫𑒧 ∞ Maithili ∞ Mithilakshar,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tirh,https://en.wikipedia.org/wiki/Tirhuta_script,https://www.omniglot.com/writing/tirhuta.htm,https://www.endangeredalphabets.net/alphabets/tirhuta-mithilakshar/,https://www.unicode.org/L2/L2011/11175r-tirhuta.pdf
Todr-229,Todhri ∞ todhri,𐗢𐗚𐗆𐗐𐗝𐗒 ∞ Todhri,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Todr,https://en.wikipedia.org/wiki/Todhri_alphabet,https://omniglot.com/writing/todhri.htm,,https://www.unicode.org/L2/L2020/20188r2-n5139r2-todhri.pdf
Tols-299,Tolong Siki ∞ tolong siki,Tolong Siki,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tols,https://en.wikipedia.org/wiki/Tolong_Siki,https://omniglot.com/writing/tolongsiki.htm,,https://www.unicode.org/L2/L2023/23024-tolong-siki.pdf
Toto-294,Toto ∞ toto,𞊒𞊪𞊒𞊪 ∞ তোতো,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Toto,https://en.wikipedia.org/wiki/Toto_language#Writing_system,https://omniglot.com/writing/toto2.htm,https://www.endangeredalphabets.net/toto/,https://www.unicode.org/L2/L2019/19330-toto-script.pdf
Tutg-341,Tulu-Tigalari ∞ tulu-tigalari,𑎡𑎹𑎔𑎳𑎸𑎬𑎹 𑎭𑎹𑎦𑎹 ∞ ತುಳು,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Tutg,https://en.wikipedia.org/wiki/Tigalari_script,https://omniglot.com/writing/tulu.htm,,https://www.unicode.org/L2/L2021/21210-tulu-tigalari.pdf
*Turk-998,Turkestani ∞ Tumshuqese ∞ Central Asian Nagari ∞ Uighur Brahmi,Turkestani Brahmi,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Qa53,,,,https://unicode.org/L2/L2014/14192-turkestani.pdf
Ugar-040,Ugaritic ∞ ougaritique,𐎜𐎗𐎟𐎝,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Ugar,https://en.wikipedia.org/wiki/Ugaritic_alphabet,https://www.omniglot.com/writing/ugaritic.htm,,https://www.unicode.org/L2/L2001/01141-n2338-ugaritic.pdf
*Umwe-999,Umwero,Umwero,,,,https://www.endangeredalphabets.net/umwero/,
Vaii-470,Vai ∞ vaï,ꕙꔤ ∞ ꕉꕜꕮꔔ,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Vaii,https://en.wikipedia.org/wiki/Vai_syllabary,https://www.omniglot.com/writing/vaisyllabary.htm,,https://www.unicode.org/L2/L2005/05159-n2948-vai.pdf
*Vatt-998,Vatteluttu ∞ Vattezhuthu,வட்டெழுத்து ∞ വട്ടെഴുത്ത്,,https://en.wikipedia.org/wiki/Vatteluttu,https://omniglot.com/writing/vatteluttu.htm,,https://unicode.org/L2/L2016/16068-vatteluttu.pdf
Visp-280,Visible Speech ∞ parole visible ∞ Physiological Alphabet,Visible Speech,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Visp,https://en.wikipedia.org/wiki/Visible_Speech,https://www.omniglot.com/writing/visiblespeech.htm,,https://www.evertype.com/standards/csur/visible-speech.html
Vith-228,Vithkuqi ∞ vithkuqi,𐕲𐖻𐖶𐖨𐖷𐖰𐖥 ∞ 𐖎𐖵𐕸𐖟 ∞ Beitha Kukju ∞ Büthakukye ∞ Veqilharxhi,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Vith,https://en.wikipedia.org/wiki/Vithkuqi_alphabet,https://www.omniglot.com/writing/beithakukju.htm,,https://www.unicode.org/L2/L2020/20187r2-n5138r2-vithkuqi.pdf
Wcho-283,Wancho ∞ wantcho,𞋒𞋀𞋉𞋃𞋕 ∞ 𞋐𞋘𞋀𞋞,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Wcho,https://en.wikipedia.org/wiki/Wancho_script,https://omniglot.com/writing/wanchoscript.htm,,https://www.unicode.org/L2/L2017/17067r2-n4787r2-wancho.pdf
Wara-262,Warang Citi ∞ Varang Kshiti ∞ warang citi ∞ Barang Kshiti,𑢹𑣗𑣁𑣜𑣊 𑢯𑣂𑣕𑣂 ∞ 𑢠𑣀𑢡𑣁,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Wara,https://en.wikipedia.org/wiki/Warang_Citi,https://omniglot.com/writing/varangkshiti.htm,,https://www.unicode.org/L2/L2012/12118-n4259-warang-citi.pdf
Wole-480,Woleai ∞ Caroline Island script,Woleai,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Wole,https://en.wikipedia.org/wiki/Woleai_script,https://www.omniglot.com/writing/woleai.htm,,https://www.unicode.org/L2/L2011/11362-n4146-woleai.pdf
Yezi-192,Yezidi ∞ yézidi ∞ Yazidi,𐺍𐺁𐺄𐺀,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Yezi,https://en.wikipedia.org/wiki/Kurdish_alphabets#Yezidi,https://omniglot.com/writing/yezidi.htm,,https://www.unicode.org/L2/L2019/19051r-yezidi.pdf
Yiii-460,Yi ∞ yi,ꆈꌠꁱꂷ ∞ ꊿꂷꃅꄿ ∞ nuosu bburma,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Yiii,https://en.wikipedia.org/wiki/Yi_script,https://www.omniglot.com/writing/yi.htm,,https://unicode.org/L2/L2004/04293-a015.pdf
Zanb-339,Zanabazar Square ∞ zanabazar quadratique ∞ Хэвтээ Дөрвөлжин бичиг ∞ Horizontal Square ∞ Xewtee Dörböljin Bicig,𑨢𑨆𑨏𑨳𑨋𑨆𑨬𑨳 ∞ 𑨒𑨍𑨙𑨁 ∞ Zanabazarin Dörböljin Useg,https://www.scriptsource.org/cms/scripts/page.php?item_id=script_detail&key=Zanb,https://en.wikipedia.org/wiki/Zanabazar_square_script,https://www.omniglot.com/writing/mhss.htm,,https://www.unicode.org/L2/L2015/15337-zanabazar-square.pdf
graph-set-id,exonym,endonym,scriptsource,wikipedia,omniglot,endangeredalphabets,unicodeproposal
